"ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","yearly","yearly_lower","yearly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
2017-06-01,1466439.39674927,14990.2664003049,14990.2664003049,14990.2664003049,14990.2664003049,14990.2664003049,14990.2664003049,0,0,0,1452319.09657957,1510921.78970333,1466439.39674927,1466439.39674927,1481429.66314958
2017-07-01,1465953.57171943,13983.5558954028,13983.5558954028,13983.5558954028,13983.5558954028,13983.5558954028,13983.5558954028,0,0,0,1450105.70712189,1508570.0589549,1465953.57171943,1465953.57171943,1479937.12761483
2017-08-01,1465451.55252192,8292.20141813052,8292.20141813052,8292.20141813052,8292.20141813052,8292.20141813052,8292.20141813052,0,0,0,1447617.94847887,1501495.68049956,1465451.55252192,1465451.55252192,1473743.75394005
2017-09-01,1464949.53332441,9253.0151351363,9253.0151351363,9253.0151351363,9253.0151351363,9253.0151351363,9253.0151351363,0,0,0,1444119.82501963,1505771.20133814,1464949.53332441,1464949.53332441,1474202.54845955
2017-10-01,1464463.70830101,10884.0235811565,10884.0235811565,10884.0235811565,10884.0235811565,10884.0235811565,10884.0235811565,0,0,0,1446986.62025311,1504421.13372444,1464463.70830101,1464463.70830101,1475347.73188217
2017-11-01,1463961.68911017,10697.2176340222,10697.2176340222,10697.2176340222,10697.2176340222,10697.2176340222,10697.2176340222,0,0,0,1446170.42280599,1502614.70242055,1463961.68911017,1463961.68911017,1474658.90674419
2017-12-01,1463475.86408677,15929.3547946018,15929.3547946018,15929.3547946018,15929.3547946018,15929.3547946018,15929.3547946018,0,0,0,1452676.95995941,1507915.2254736,1463475.86408677,1463475.86408677,1479405.21888137
2018-01-01,1462716.13250221,13649.7478383163,13649.7478383163,13649.7478383163,13649.7478383163,13649.7478383163,13649.7478383163,0,0,0,1448117.72150637,1506485.53736361,1462716.13250221,1462716.13250221,1476365.88034052
2018-02-01,1461956.40091764,14690.388255239,14690.388255239,14690.388255239,14690.388255239,14690.388255239,14690.388255239,0,0,0,1447613.74142659,1504419.84875082,1461956.40091764,1461956.40091764,1476646.78917288
2018-03-01,1461270.19174449,14730.0679160538,14730.0679160538,14730.0679160538,14730.0679160538,14730.0679160538,14730.0679160538,0,0,0,1445222.12598354,1504073.57861192,1461270.19174449,1461270.19174449,1476000.25966054
2018-04-01,1456101.1487722,12131.6661922678,12131.6661922678,12131.6661922678,12131.6661922678,12131.6661922678,12131.6661922678,0,0,0,1439703.0684908,1497507.87325577,1456101.1487722,1456101.1487722,1468232.81496446
2018-05-01,1451098.84912159,10451.7340203472,10451.7340203472,10451.7340203472,10451.7340203472,10451.7340203472,10451.7340203472,0,0,0,1432643.06425922,1488282.16310228,1451098.84912159,1451098.84912159,1461550.58314193
2018-06-01,1445929.80614929,12524.4508989082,12524.4508989082,12524.4508989082,12524.4508989082,12524.4508989082,12524.4508989082,0,0,0,1430498.54758167,1487913.13558006,1445929.80614929,1445929.80614929,1458454.2570482
2018-07-01,1440926.8549745,8343.71641747463,8343.71641747463,8343.71641747463,8343.71641747463,8343.71641747463,8343.71641747463,0,0,0,1421636.20555579,1478471.95905744,1440926.8549745,1440926.8549745,1449270.57139197
2018-08-01,1435757.13876054,2604.70426702173,2604.70426702173,2604.70426702173,2604.70426702173,2604.70426702173,2604.70426702173,0,0,0,1408920.14732464,1468516.02956974,1435757.13876054,1435757.13876054,1438361.84302756
2018-09-01,1430587.42254659,12583.5448658467,12583.5448658467,12583.5448658467,12583.5448658467,12583.5448658467,12583.5448658467,0,0,0,1415910.5600067,1472301.12544073,1430587.42254659,1430587.42254659,1443170.96741243
2018-10-01,1425584.47155355,17062.3777433294,17062.3777433294,17062.3777433294,17062.3777433294,17062.3777433294,17062.3777433294,0,0,0,1412971.38617922,1471755.56178491,1425584.47155355,1425584.47155355,1442646.84929688
2018-11-01,1420414.75552741,14804.7849401321,14804.7849401321,14804.7849401321,14804.7849401321,14804.7849401321,14804.7849401321,0,0,0,1407305.97929775,1465511.48731157,1420414.75552741,1420414.75552741,1435219.54046754
2018-12-01,1415411.80453438,17457.8903194682,17457.8903194682,17457.8903194682,17457.8903194682,17457.8903194682,17457.8903194682,0,0,0,1403467.61163431,1462758.49260503,1415411.80453438,1415411.80453438,1432869.69485384
2019-01-01,1410242.91334128,7698.00201172368,7698.00201172368,7698.00201172368,7698.00201172368,7698.00201172368,7698.00201172368,0,0,0,1388825.95567468,1445427.62499729,1410242.91334128,1410242.91334128,1417940.91535301
2019-02-01,1405074.02214819,-2652.717346261,-2652.717346261,-2652.717346261,-2652.717346261,-2652.717346261,-2652.717346261,0,0,0,1372309.46018981,1430030.85400139,1405074.02214819,1405074.02214819,1402421.30480193
2019-03-01,1401522.78225431,30383.6558164439,30383.6558164439,30383.6558164439,30383.6558164439,30383.6558164439,30383.6558164439,0,0,0,1402504.81516827,1460158.43105691,1401522.78225431,1401522.78225431,1431906.43807075
2019-04-01,1397591.0523718,18481.5861807557,18481.5861807557,18481.5861807557,18481.5861807557,18481.5861807557,18481.5861807557,0,0,0,1386677.29381833,1444608.44453141,1397591.0523718,1397591.0523718,1416072.63855255
2019-05-01,1393786.1524855,9578.25821357998,9578.25821357998,9578.25821357998,9578.25821357998,9578.25821357998,9578.25821357998,0,0,0,1373917.80820056,1432814.49954505,1393786.1524855,1393786.1524855,1403364.41069908
2019-06-01,1391332.95430045,9901.53816355233,9901.53816355233,9901.53816355233,9901.53816355233,9901.53816355233,9901.53816355233,0,0,0,1373952.85989723,1429612.21993966,1391332.95430045,1391332.95430045,1401234.492464
2019-07-01,1388958.89154072,2690.72265576618,2690.72265576618,2690.72265576618,2690.72265576618,2690.72265576618,2690.72265576618,0,0,0,1361399.78429434,1421356.56961269,1388958.89154072,1388958.89154072,1391649.61419648
2019-08-01,1386505.69335567,-2880.77717334699,-2880.77717334699,-2880.77717334699,-2880.77717334699,-2880.77717334699,-2880.77717334699,0,0,0,1355623.69414151,1410645.19475294,1386505.69335567,1386505.69335567,1383624.91618232
2019-09-01,1385558.80272716,16151.6875841734,16151.6875841734,16151.6875841734,16151.6875841734,16151.6875841734,16151.6875841734,0,0,0,1373409.78239232,1431174.73039641,1385558.80272716,1385558.80272716,1401710.49031133
2019-10-01,1384642.45695764,23267.6991414937,23267.6991414937,23267.6991414937,23267.6991414937,23267.6991414937,23267.6991414937,0,0,0,1376239.05802,1437401.33750375,1384642.45695764,1384642.45695764,1407910.15609913
2019-11-01,1383695.56632913,18781.7341208679,18781.7341208679,18781.7341208679,18781.7341208679,18781.7341208679,18781.7341208679,0,0,0,1375729.97498491,1431284.02797023,1383695.56632913,1383695.56632913,1402477.30045
2019-12-01,1388630.87893222,18730.2690940111,18730.2690940111,18730.2690940111,18730.2690940111,18730.2690940111,18730.2690940111,0,0,0,1377954.15138187,1436011.60319572,1388630.87893222,1388630.87893222,1407361.14802624
2020-01-01,1393730.70195542,1510.18042435242,1510.18042435242,1510.18042435242,1510.18042435242,1510.18042435242,1510.18042435242,0,0,0,1365690.65987004,1423953.75530831,1393730.70195542,1393730.70195542,1395240.88237977
2020-02-01,1398830.52497862,-19727.8892037293,-19727.8892037293,-19727.8892037293,-19727.8892037293,-19727.8892037293,-19727.8892037293,0,0,0,1349877.92520213,1406451.21515056,1398830.52497862,1398830.52497862,1379102.63577489
2020-03-01,1408370.08694274,-15654.6142812332,-15654.6142812332,-15654.6142812332,-15654.6142812332,-15654.6142812332,-15654.6142812332,0,0,0,1364442.88756908,1424451.85200165,1408370.08694274,1408370.08694274,1392715.4726615
2020-04-01,1418567.54973197,-1061.0373854607,-1061.0373854607,-1061.0373854607,-1061.0373854607,-1061.0373854607,-1061.0373854607,0,0,0,1388160.93396417,1444409.43909019,1418567.54973197,1418567.54973197,1417506.51234651
2020-05-01,1428436.06210864,11519.7826454288,11519.7826454288,11519.7826454288,11519.7826454288,11519.7826454288,11519.7826454288,0,0,0,1410759.82677797,1468157.72413078,1428436.06210864,1428436.06210864,1439955.84475407
2020-06-01,1440062.76208484,17294.1192584043,17294.1192584043,17294.1192584043,17294.1192584043,17294.1192584043,17294.1192584043,0,0,0,1427588.53045132,1484922.86804243,1440062.76208484,1440062.76208484,1457356.88134325
2020-07-01,1451314.4072231,19600.4885058486,19600.4885058486,19600.4885058486,19600.4885058486,19600.4885058486,19600.4885058486,0,0,0,1443077.36539879,1500635.98305385,1451314.4072231,1451314.4072231,1470914.89572895
2020-08-01,1462941.1071993,14174.0670959215,14174.0670959215,14174.0670959215,14174.0670959215,14174.0670959215,14174.0670959215,0,0,0,1446784.9219206,1506698.38184267,1462941.1071993,1462941.1071993,1477115.17429522
2020-09-01,1474567.80708106,6164.15076493242,6164.15076493242,6164.15076493242,6164.15076493242,6164.15076493242,6164.15076493242,0,0,0,1452405.11492428,1508642.26482068,1474567.80708106,1474567.80708106,1480731.95784599
2020-10-01,1485819.45212793,4742.84304814257,4742.84304814257,4742.84304814257,4742.84304814257,4742.84304814257,4742.84304814257,0,0,0,1463614.14363419,1518620.64719035,1485819.45212793,1485819.45212793,1490562.29517607
