"ds","yhat","yhat_lower","yhat_upper"
2011-01-01,12509545307.7614,11375562108.5537,13687328590.4545
2012-01-01,13606321061.9905,12485721955.1733,14736683548.5597
2013-01-01,13889120608.5881,12683956594.408,14989597059.8541
2014-01-01,15063016980.5133,13961716864.6788,16174743766.101
2015-01-01,16198501225.9551,14981269280.9416,17339800586.2395
2016-01-01,17295276988.5511,16176849417.0666,18425198657.2209
2017-01-01,17578076598.6675,16428540390.7338,18777577434.8938
2018-01-01,18751973040.3082,17691264182.8829,19899749363.7708
2019-01-01,19887845598.5929,18828082711.1651,21041586400.1266
2020-01-01,20985338321.717,19830590950.2626,22092436451.8331
2021-01-01,21269589130.7129,20139643154.0793,22342749580.1185
2022-01-01,22445174490.793,21302855396.4781,23592549588.3865
2023-01-01,23582347722.7189,22503741323.2454,24739242174.3794
2024-01-01,24680812465.2549,23549530671.2492,25823270508.5367
2025-01-01,24965305627.1417,23835342564.9818,26154163799.4958
2026-01-01,26140890987.2232,25010621931.2842,27315600922.0125
2027-01-01,27278064219.1496,26126519732.8643,28379353551.8297
2028-01-01,28376528961.6842,27210300898.4335,29534092757.0811
2029-01-01,28661022123.5728,27482293500.0845,29807694305.5632
2030-01-01,29836607483.6513,28686725934.5666,31010674550.844
2031-01-01,30973780715.5797,29752651187.1075,32014033528.2036
2032-01-01,32072245458.1146,30919005839.9724,33177619953.5281
2033-01-01,32356738620.0033,31176718073.017,33467351341.5772
2034-01-01,33532323980.083,32421871394.2261,34698996213.4507
